Gene Symbol,Gene ID,Ensembl Gene ID
IVD,3712,ENSG00000128928
nan,,-
CXorf40B,,-
STAU2,27067,ENSG00000040341
ILK,3611,ENSG00000166333
BTAF1,9044,ENSG00000095564
SH2B2,10603,ENSG00000160999
SKP2,6502,ENSG00000145604
FAM65A,,-
IGKV2D-28,28883,ENSG00000242534
RNF213,57674,ENSG00000173821
CLEC11A,6320,ENSG00000105472
IREB2,3658,ENSG00000136381
MAP4K2,5871,ENSG00000168067
RASGRP3,25780,ENSG00000152689
UHMK1,127933,ENSG00000152332
nan,,-
nan,,-
nan,,-
ARPIN,348110,ENSG00000242498
nan,,-
C7orf55,,-
nan,,-
CORO7,79585,ENSG00000262246//ENSG00000282725
nan,,-
BIRC5,332,ENSG00000089685
PI4KB,5298,ENSG00000143393
nan,,-
nan,,-
nan,,-
nan,,-
nan,,-
nan,,-
PPAN,56342,ENSG00000130810
HELLS,3070,ENSG00000119969
MED24,9862,ENSG00000008838
nan,,-
nan,,-
nan,,-
nan,,-
nan,,-
LOC102288414,,-
nan,,-
nan,,-
nan,,-
nan,,-
nan,,-
nan,,-
nan,,-
TUBB3,10381,ENSG00000258947
IFI27L2,83982,ENSG00000119632//ENSG00000276879
nan,,-
CDYL2,124359,ENSG00000166446
TRAPPC2L,51693,ENSG00000167515
SHPK,23729,ENSG00000197417
QIL1,,-
PTGIR,5739,ENSG00000160013
nan,,-
nan,,-
TPT1,7178,ENSG00000133112
C21orf33,,-
nan,,-
nan,,-
ORAI1,84876,ENSG00000276045
MS4A2,2206,ENSG00000149534
nan,,-
LRRC41,10489,ENSG00000132128
nan,,-
nan,,-
CYP51A1,1595,ENSG00000001630
KDM4B,23030,ENSG00000127663
GSTZ1,2954,ENSG00000100577
TM9SF4,9777,ENSG00000101337
ZCCHC11,,-
MFN1,55669,ENSG00000171109
MGLL,11343,ENSG00000074416
RORA,6095,ENSG00000069667
CRTAC1,55118,ENSG00000095713
ZBTB34,403341,ENSG00000177125
UXT,8409,ENSG00000126756
COL11A2,1302,ENSG00000204248//ENSG00000223699//ENSG00000206290//ENSG00000230930//ENSG00000227801//ENSG00000232541//ENSG00000235708
JADE2,23338,ENSG00000043143
SOD2,6648,ENSG00000112096
FBXL15,79176,ENSG00000107872
ING1,3621,ENSG00000153487
EMILIN1,11117,ENSG00000138080
NELFA,7469,ENSG00000185049
SELPLG,6404,ENSG00000110876
ARSA,410,ENSG00000100299
ABI2,10152,ENSG00000138443
SYNE1,23345,ENSG00000131018
nan,,-
NME6,10201,ENSG00000172113
ECI2,10455,ENSG00000198721
TIGIT,201633,ENSG00000181847
HLTF,6596,ENSG00000071794
ABLIM3,22885,ENSG00000173210
SCOC,60592,ENSG00000153130
nan,,-
nan,,-
STK35,140901,ENSG00000125834
KLHL6,89857,ENSG00000172578
CHD4,1108,ENSG00000111642
CD276,80381,ENSG00000103855
RRAS2,22800,ENSG00000133818
NUMBL,9253,ENSG00000105245
LYRM5,,-
ZG16B,124220,ENSG00000283056//ENSG00000162078
PITPNC1,26207,ENSG00000154217
KIF18B,146909,ENSG00000186185
ZNF556,80032,ENSG00000172000
CAPNS1,826,ENSG00000126247
DHRS7B,25979,ENSG00000109016
