"ENTREZ_GENE_ID","expressed","top"
"26469","1","0"
"55679","0","0"
"55515","0","0"
"10290","0","0"
"84708","0","0"
"224","0","0"
"7037","1","1"
"6720","1","0"
"7224","0","0"
"27125","1","1"
"7321","0","0"
"64398","1","0"
"9886","0","0"
"8243","1","1"
"3028","1","0"
"2011","0","0"
"3161","0","0"
"55743","1","0"
"29953","0","0"
"8974","0","0"
"2213","0","0"
"4775","1","0"
"51095","0","0"
"37","1","0"
"6793","1","1"
"23291","1","0"
"9744","1","1"
"1400","0","0"
"2121","0","0"
"51009","1","0"
"54847","1","0"
"54820","1","0"
"10335","0","0"
"79041","0","0"
"8907","1","0"
"5817","0","0"
"7515","0","0"
"949","0","0"
"54905","0","0"
"4171","0","0"
"54456","0","0"
"56666","0","0"
"83642","1","0"
"8626","0","0"
"80216","0","0"
"3993","1","0"
"5151","0","0"
"1183","0","0"
"54475","0","0"
"6389","1","0"
"6605","1","0"
"54752","0","0"
"55876","1","0"
"5927","1","1"
"4185","0","0"
"5523","0","0"
"10979","0","0"
"8647","0","0"
"10170","0","0"
"922","0","0"
"5743","0","0"
"10644","0","0"
"9175","0","0"
"6480","1","0"
"30009","1","0"
"10129","0","0"
"8301","1","0"
"4905","0","0"
"2736","0","0"
"23332","1","0"
"65993","0","0"
"4854","0","0"
"1207","0","0"
"5522","0","0"
"8463","0","0"
"8726","1","0"
"54825","0","0"
"6620","0","0"
"7251","1","0"
"55421","1","0"
"489","1","0"
"771","0","0"
"11343","0","0"
"59277","0","0"
"617","0","0"
"9891","1","0"
"54878","1","0"
"9187","0","0"
"55205","0","0"
"8578","0","0"
"3998","1","0"
"51495","1","0"
"26034","0","0"
"23140","1","0"
"50508","0","0"
"2023","1","1"
"6557","0","0"
"56005","1","0"
"57719","0","0"
"51175","0","0"
"55160","0","0"
"7294","1","0"
"9671","0","0"
"3785","0","0"
"6865","0","0"
"64431","0","0"
"54962","0","0"
"6717","1","0"
"8672","1","0"
"79023","0","0"
"10371","0","0"
"51512","0","0"
"10512","0","0"
"55020","1","0"
"38","0","0"
"23151","0","0"
"9620","0","0"
"7479","0","0"
"27332","1","0"
"55972","0","0"
"29090","0","0"
"119","0","0"
"2249","0","0"
"9462","0","0"
"9605","0","0"
"7587","1","0"
"4140","1","1"
"5250","1","1"
"64778","1","0"
"2355","1","1"
"27091","0","0"
"27092","0","0"
"285527","1","0"
"23505","1","0"
"6624","0","0"
"60","1","1"
"55034","0","0"
"5337","0","0"
"479","0","0"
"284403","0","0"
"1739","1","0"
"7879","1","0"
"55973","0","0"
"25956","1","0"
"9733","1","0"
"55843","1","1"
"113457","0","0"
"5076","0","0"
"23016","0","0"
"22920","1","0"
"23609","1","0"
"4175","1","0"
"25996","0","0"
"10179","1","0"
"5939","0","0"
"11176","1","0"
"25930","0","0"
"4292","1","0"
"7374","0","0"
"2329","0","0"
"27252","1","0"
"8786","0","0"
"113235","0","0"
"5362","0","0"
"10615","0","0"
"88455","1","0"
"7163","0","0"
"32","0","0"
"9618","0","0"
"55824","1","0"
"55094","0","0"
"3385","0","0"
"22978","0","0"
"4162","0","0"
"2239","0","0"
"55796","0","0"
"57662","0","0"
"5909","0","0"
"56949","0","0"
"9138","1","1"
"100505585","1","1"
"6813","0","0"
"5609","0","0"
"27231","0","0"
"8527","1","0"
"83992","0","0"
"51412","0","0"
"5915","0","0"
"7155","1","1"
"56889","1","1"
"4791","1","0"
"29089","0","0"
"4660","1","0"
"54431","1","0"
"2975","1","0"
"3566","1","0"
"23032","1","0"
"5063","0","0"
"827","0","0"
"1641","0","0"
"6626","1","0"
"9576","0","0"
"56915","0","0"
"1781","0","0"
"54518","1","0"
"4034","0","0"
"143684","1","0"
"51548","0","0"
"7299","0","0"
"10714","0","0"
"88","0","0"
"832","1","0"
"7107","0","0"
"10003","0","0"
"79960","1","1"
"203427","0","0"
"7319","1","0"
"2260","0","0"
"8468","0","0"
"27127","0","0"
"2192","0","0"
"8516","0","0"
"8530","1","1"
"4133","0","0"
"9063","1","0"
"273","0","0"
"369","1","0"
"56922","0","0"
"27074","0","0"
"2191","0","0"
"10529","0","0"
