uniprot,symbol,smB_S1R1,smB_S1R2,smB_S1R3,smB_S1R4
P12830;A0A087WXI5;P12830-2;A0A087WX17;A0A087WU43,CDH1,0,0,0,633
Q7Z3F1;A0A087WXK4,GPR155,0,0,0,0
Q9H4H8;A0A087WXK8;Q9H4H8-2,FAM83D,47568,0,0,70267
P41439;A0A087WXL1;A0A087WYI3,FOLR3,0,0,0,0
A0A087WXL6,,75854,59211,40487,64103
A0A087WXL8;A0A075B6N8;P01860,IGHG3,32874,32362,110205,50034
P18621;A0A087WXM6;J3QQT2;J3KRX5;A0A0A6YYL6;P18621-3;J3QLC8;J3KRB3;A0A087WWH0;J3QS96;A0A0A0MRF8;P18621-2;A0A087WY81,RPL17,5088556,3457455,1874269,2148073
A0A087WXN8;A0A087X1C5;P10635;F5H6E7;H7BY38;E7ENE7;P10635-2,CYP2D6;CYP2D7P,0,0,10449,0
Q765P7;A0A087WXN9,MTSS1L,1827,0,0,0
A0A087WXP0,,0,0,0,0
A0A087WXR2;Q9Y365;F5H1Z6;F5H8G1;F5H8H3;F5H0V7;F5GY11,STARD10,0,0,14259,0
Q5TBB1;A0A087WXR7;Q5TBB1-2,RNASEH2B,158542,202663,84573,150096
Q9NWS8;A0A087WXU0;Q9NWS8-2;Q5SZ82,RMND1,15262,11354,8789,16008
Q8N344;A0A087WXW2;A0A087WZA4,MIER2,0,0,1584,0
A0A087WXW5,,0,0,0,0
Q9NP79;A0A087WY55,VTA1,448637,321700,253305,213365
Q96CW1;Q96CW1-2;A0A087WY71;E9PFW3;C9JJ47,AP2M1,332093,267582,205047,200004
A0A087WY73;Q16378,PRR4,0,0,0,0
P61077;P61077-3;A0A087WY85;P61077-2;D6RFM0;D6RAH7;H9KV45;P62837-2;D6RAW0;D6RA11,UBE2D3;UBE2D2,1259265,1022361,576258,578982
Q8N5M9;A0A087WY88,JAGN1,30897,20292,10774,0
A0A087WYN0;A0A087WY96;P31641,SLC6A6,999,0,0,0
A0A087WYC3;A0A087X144;A0A075B6S1,TRBC2,0,0,0,0
A0A087WYC5,,0,0,0,5185
Q03519;A0A087WYD6;Q03519-2,TAP2,56390,69272,84261,253999
A0A087WYE1,,0,0,0,0
A0A087WYE4;E9PS60;E9PJK3,PDE4DIP,0,0,0,0
A0A0B4J2B8;A0A087WYE8;A6NJS3,IGHV1OR21-1,0,0,0,0
Q6UXV4;A0A087WYF7;A0A087WUX8,APOOL,233030,142729,94073,207771
A0A087WYJ9,,0,0,0,0
O75586;G3V4A5;A0A087WYL7,MED6,23465,22752,9736,12133
A0A087WYL9;A0A087WWV8,,3226377,3310522,4591879,1878893
A0A087WYM9,,0,0,0,0
Q7Z478;A0A087WYN9,DHX29,51398,41407,39311,47897
Q8IZQ5;A0A087WYP2;H0YE28,SELH;C11orf31,1455531,1263825,735575,881508
A0A087WYR4,,11071,42933,47906,22356
Q9Y5X1;A0A087WYU1,SNX9,229555,189951,137879,151169
A6NCM1;A0A087WYV2,IQCA1P1,0,0,0,0
A0A087WYV9;A0A087X1F5,,95656,77918,44407,74281
A0A087WZ08;A0A087WXP6,,0,0,0,26238
A0A087WZ13;E9PAU2;Q8IY67-2;Q8IY67,RAVER1,310091,213493,134695,160326
O94761;A0A087WZ30;A0A087X072,RECQL4,767,1360,605,0
A0A087WZ39,,0,0,0,0
Q8TCT7;Q8TCT7-4;A0A087WZ50;Q8TCT7-3;Q8TCT7-2;A0A087WZ93,SPPL2B,1836,0,0,2610
Q6P9G4;A0A087WZ54,TMEM154,0,25728,12929,0
A0A087WZ62;Q9H6U8;Q9H6U8-3;H0YCW6;Q9H6U8-2;Q9H6U8-4,ALG9,4216,0,2879,3547
A0A087WZB5,,0,0,0,0
P35680;E0YMJ8;A0A087WZC2;P35680-3,HNF1B,4120,0,0,0
P02549;A0A087WZE4;P02549-2,SPTA1,1581,0,0,0
P29966;A0A087WZH7,MARCKS,168535,98276,26666,3465
A0A087WZH9;A0A0B4J1U0,,0,25339,30096,15199
A0A087WZM2;O00584;D6RHI9;D6REQ6;H0YAE9,RNASET2,599929,324820,207814,144640
Q8TBM7;A0A087WZM8;Q8TBM7-2;Q8TBM7-3,TMEM254,0,0,0,10773
O43837;A0A087WZN1;O43837-2;A0A087X2E5,IDH3B,728072,548296,460225,575871
Q9UI36;A0A087WZP2;Q9UI36-2;Q9UI36-3;A0A087WY66;A0A087WZA7;Q9UI36-4,DACH1,3799,0,0,0
Q86WG5;A0A087WZP7;Q86WG5-3,SBF2,0,2470,1691,0
A0A087WZP9,,1412,5395,6288,8466
A0A087WZQ7;Q9H115;Q9H115-2;Q9H115-3,NAPB,0,0,0,0
A0A087WZR4;O75015;H0Y4U3;M9MML6,FCGR3B,287,0,0,337
Q9BY67;A0A087X0T8;A0A087X105;A0A087WZW4;A0A087X1W8;A0A0A0MTJ8;A0A087WZR6;X5DQS5;Q9BY67-2;Q9BY67-5;Q9BY67-4;Q9BY67-3;F5H125;H0YG94,CADM1,0,0,0,0
Q6UX53;A0A087WZT2,METTL7B,0,0,0,0
A0A087WZU9,,0,0,0,0
A0A087WZV8,,0,0,0,3565
A0A087WZW8;A0A087X1V9;P01834;A0A075B6H6,IGKC,15089,30146,90058,0
Q86UU0;A0A087WZX0;Q86UU0-4;Q86UU0-2;Q86UU0-3,BCL9L,5996,3851,10045,1565
A0A087WZX1;A0A087WVM0;A0A075B6Q9;A0A087WUA9;P0CF51,TRGC1,0,0,0,0
A0A087X010,,0,0,0,0
A0A087X011;Q9Y496;J3KPF9;E9PES4,KIF3A,6551,4135,3763,6752
Q9Y3A5;A0A087X020,SBDS,407363,248366,197909,268547
A0A087X079,,3207,0,4442,0
O15484;A0A087X0C8;E7EV01,CAPN5;ASB2,0,0,609,799
A0A087X0D5;P09668,CTSH,618540,560520,1293273,619257
O14862;A0A087X0L4,AIM2,5867,0,3741,16129
A0A087X0M4;Q9BWU0,SLC4A1AP,117150,78368,56009,51147
A0A087X0M8;O00533;O00533-2,CHL1,0,0,798,6747
A0A087X0N2;O15243,LEPROT,0,0,0,0
A0A087X0N3;Q96MY1;A0A087WTU5;Q96MY1-2,NOL4L,0,0,0,2641
A0A087X0P6;A0A075B6S2,IGKV2D-29,0,591424,257073,102828
Q9BVL4;A0A087X0Q9,SELO,27911,9049,15851,12726
O15550;F5H6S1;F8W8R6;A0A087X0R0;H0Y6I7;H0Y5J3,KDM6A,0,14343,0,0
Q9UMY4;A0A087X0R6;Q9UMY4-2;Q9UMY4-3,SNX12,254954,178767,115677,260067
P12109;A0A087X0S5,COL6A1,8582,6323,1544,685
P43003;A0A087X0U3;P43003-2;A0A087WT87,SLC1A3,0,0,0,0
P29728;A0A087X0V5;P29728-2,OAS2,197679,209142,111526,160964
A0A087X0W7;P49753;A0A087WT95;P49753-2,ACOT2,253584,158984,117757,165446
Q8NF86;I3L3D7;A0A087X0Z6,PRSS33,1623,803,722,1816
Q15155;A0A087X117;A0A087WW46,NOMO1,0,0,0,0
Q8NF64;E7EWM3;A0A087X127;Q8NF64-3;Q8NF64-2,ZMIZ2,14868,7671,7199,7533
A0A087X130,,20654,29487,28700,31789
Q5T6S3;A0A087X169;Q5T6S3-2;B0QZ72,PHF19,4198,3394,0,1546
Q9UBW5;A0A087X188;F5H0W4;A0A0A0MT10;Q9UBW5-2,BIN2,30530,49038,65113,59949
A0A087X1A8;P54252;P54252-2;D3VVH9;G3V3R7;F5H211;P54252-4;G3V328;A0A087WXY4;C9JQV6;P54252-3;G3V3T6;G3V4U9;A0A0A0MS38;E9PJN5;G3V2G1;S4R399,ATXN3,85080,58709,64166,64098
H3BU88;A0A087X1C1;P0CG35;P0CG34,TMSB15B;TMSB15A,26885,0,0,16911
P53365;A0A087X1E4;P53365-3;P53365-2,ARFIP2,62006,21526,10757,16989
O60613;A0A087X1G7;A0A0B4J1S4,15-Sep,189434,181163,60521,91953
Q6ZW13;A0A087X1J0;R4GNF0,C16orf86,0,0,0,0
P22352;A0A087X1J7,GPX3,14017,12877,13816,50334
A0A087X1K2,,0,1177,697,0
Q9Y2Y9;A0A087X1K6,KLF13,19044,14946,11507,22421
P09326;A0A087X1S7,CD48,572642,362478,245898,279193
A0A087X1U6,,10191,7155,1281,1828
Q96RT8;Q96RT8-2;A0A087X1Z1,TUBGCP5,2361,1913,1875,1692
Q9UL46;A0A087X1Z3,PSME2,7388519,5145137,2737051,2389168
Q8TCG1;A0A087X211;Q8TCG1-2,KIAA1524,97814,51009,13076,30966
Q6PCB5;A0A087X239;Q6PCB5-2,RSBN1L,24174,13352,10054,9246
Q2M389;A0A087X256;Q2M389-2,KIAA1033,97580,80761,62798,99340
Q969V6;E7ER32;A0A087X287;W0Z7M9;B0QY83;A0A087WU73,MKL1;mkl1,6795,8114,5960,3685
Q9NNW5;A0A087X295;E9PDU5,WDR6,34121,16169,16626,28885
A0A087X2C0;A0A075B6N9;P01871;P01871-2,IGHM,5142930,5348126,6894976,4311170
Q5T7M9;A0A087X2C2;A0A087WZK6;A0A087WZ97,FAM69A,15117,19022,10741,0
Q9BRJ2;A0A087X2D5;A0A087WU62,MRPL45,133714,102881,64273,104296
P31997;A0A087X2E2,CEACAM8,0,573,414,1627
P62333;A0A087X2I1,PSMC6,1208432,1031381,618319,656447
A0A087X2I3,,8209,0,0,0
Q8TBZ3;Q8TBZ3-2;A0A088AWN2;Q8TBZ3-4;Q8TBZ3-5;Q8TBZ3-6;Q8TBZ3-7,WDR20,2498,2142,0,0
Q9UHQ1;E7EP87;A0A088AWN8;Q9UHQ1-4;Q9UHQ1-3;Q9UHQ1-2;J3KT43;E9PH27,NARF,14596,4903,2800,0
Q8WUY3;A0A088AWP5;Q8WUY3-4;Q8WUY3-2;Q8WUY3-3;H7BZH9;E9PDC2;Q5JUB9;Q5JUB8;Q8WUY3-5,PRUNE2,0,0,0,0
Q9BZA7;Q9BZA7-6;A0A096LNH1;Q9BZA7-7;Q9BZA7-2;Q9BZA7-5;Q9BZA7-4;Q9BZA7-3;Q9BZA7-8;Q9BZA8;Q9BZA8-3;Q9BZA8-2;Q9BZA8-4,PCDH11X;PCDH11Y,0,0,0,0
Q14185;A0A096LNH6,DOCK1,0,0,0,0
A0A096LP25;Q6ZSR9;A0A096LNZ0,,0,2337,0,0
A0A096LP38,,0,0,0,0
A0A096LP69,,0,0,0,0
A0A096LP75;C4AMC7;Q6VEQ5;A0A096LP26;A0A096LNU2,WASH3P;WASH2P,55249,59827,39169,51014
A0A0A0MR88;A0A096LPC5;Q9Y4E1;Q9Y4E1-2;Q9Y4E1-4;J3KP36;Q9Y4E1-3;Q9Y4E1-6;Q9Y4E1-5,FAM21C,58713,48281,33598,20962
