ENTREZ_GENE_ID,CopyNumber_T4.naive_01_activated,CopyNumber_T4.naive_02_activated,CopyNumber_T4.naive_03_activated,CopyNumber_T4.naive_04_activated,CopyNumber_T4.naive_01_steady-state,CopyNumber_T4.naive_02_steady-state,CopyNumber_T4.naive_03_steady-state,CopyNumber_T4.naive_04_steady-state,pos,0.5,top 0.25
2167,0,0,0,0,0,0,0,0,0.0,0,0
2171,7620122,6240673,4539536,1949148,186051,229040,186305,325053,1.0,1,1
8772,267462,259589,226291,85009,103028,119048,91242,208525,1.0,1,1
3992,725,0,0,0,0,0,4502,0,0.25,0,0
9415,4290,6768,5071,2162,0,0,0,0,0.5,0,0
11124,107271,61728,62703,32049,18478,21456,21163,28420,1.0,1,1
23197,62183,93069,93328,41323,54930,56337,72231,68323,1.0,1,1
2184,244999,264376,259924,124715,23313,12875,7679,37513,1.0,1,1
81889,124357,81981,64463,93755,65996,80180,82849,83164,1.0,1,1
51011,178334,101399,91515,36355,27221,27473,23785,35091,1.0,1,1
151313,0,0,0,0,1643,0,0,2823,0.25,0,0
55179,0,0,0,0,0,0,3866,0,0.125,0,0
359845,75843,55495,50575,17924,27785,32626,36394,71571,1.0,1,1
399665,11450,0,8772,8138,9423,20353,19443,27761,0.875,1,0
284611,0,0,2259,8411,0,0,2918,0,0.375,0,0
84923,5740,4083,5814,816,0,2856,2020,0,0.75,1,0
54491,7209,3790,6234,7632,17528,26658,21759,17210,1.0,1,0
83641,535621,1041863,727668,332468,557958,492361,676655,571077,1.0,1,1
83541,12222,8918,14141,6313,0,0,0,0,0.5,0,0
63901,11455,20808,17813,21878,3948,10940,3010,5083,1.0,1,0
374393,0,3460,4282,4574,0,1970,2932,2453,0.75,1,0
92689,0,0,0,0,0,0,0,0,0.0,0,0
10827,112734,48957,54565,37905,32800,42325,33238,65803,1.0,1,1
81558,8244,19298,19807,6770,3277,2685,3058,2500,1.0,1,0
150864,10542,8971,8516,0,2912,2333,1948,3460,0.875,1,0
55007,7605,2418,5308,3935,6033,0,4943,12534,0.875,1,0
23196,233242,230151,205738,183698,94600,85573,84959,117995,1.0,1,1
84498,14297,34530,30525,18739,35289,35345,29383,27987,1.0,1,0
54954,0,0,0,746,3114,1801,2068,2545,0.625,1,0
220108,0,0,0,0,0,0,0,0,0.0,0,0
84668,8195,186313,5968,7593,2274,3942,1496,10093,1.0,1,1
285172,6676,6579,4125,0,4883,4452,5014,7374,0.875,1,0
64855,33900,34842,24369,10760,3270,2540,2905,9886,1.0,1,0
84908,318356,144674,109744,121932,15927,15767,22424,36747,1.0,1,1
167555,0,0,0,0,0,0,0,0,0.0,0,0
729830,0,0,0,0,0,1550,1289,1614,0.375,0,0
84067,4229,0,6587,6397,0,0,5914,2594,0.625,1,0
57700,12823,23317,28530,17977,9389,8591,9095,15971,1.0,1,0
64760,11002,10978,12487,6108,1899,1301,3648,2069,1.0,1,0
23201,4351,0,0,0,0,0,0,3768,0.25,0,0
130074,0,5637,0,4354,0,0,0,0,0.25,0,0
26049,4019,4418,770,15153,42398,75942,76110,85885,1.0,1,1
83989,6883,4435,2910,2406,10017,19403,14927,12458,1.0,1,0
84142,10938,13993,9843,4445,27975,28155,25176,30842,1.0,1,0
222234,0,0,0,0,0,0,0,0,0.0,0,0
8603,0,0,978,330,0,0,0,2215,0.375,0,0
51313,5740,7753,0,7059,0,0,47094,0,0.5,0,0
85395,51555,68399,58406,14679,11518,0,8390,0,0.75,1,0
9917,0,0,0,5463,2247,2643,3581,2682,0.625,1,0
56975,0,0,0,0,0,0,0,0,0.0,0,0
125228,41965,42667,32006,12617,9115,3418,6997,8342,1.0,1,0
116151,0,0,0,3232,17240,6309,7428,6632,0.625,1,0
387680//253725,422,468,980,740,702,469,0,955,0.875,1,0
26017,52681,0,43298,61035,24035,104122,15705,53886,0.875,1,1
60343,0,0,0,0,0,0,0,0,0.0,0,0
10447,4908,133440,108760,74952,18105,54599,31611,64144,1.0,1,1
51571,832860,699914,677762,421499,631293,597505,495090,662079,1.0,1,1
9130,86860,77973,72694,47045,35265,34836,31024,45715,1.0,1,0
26240,2785,2221,1765,1582,2025,1880,2104,2587,1.0,1,0
9679,0,0,0,0,0,0,0,0,0.0,0,0
51307,10762,9451,8413,0,0,0,0,0,0.375,0,0
55793,918,5370,1208,562,3737,9240,10438,7523,1.0,1,0
199870,8152,6641,7665,5241,2991,5753,5613,2602,1.0,1,0
286336,11972,0,0,8047,4740,8079,11615,13041,0.75,1,0
81610,42602,15814,18678,0,0,0,0,0,0.375,0,0
23625,0,0,0,0,0,0,0,0,0.0,0,0
51439,0,0,1604,0,0,0,0,0,0.125,0,0
157769,31033,27274,22165,12260,6920,5076,6187,7883,1.0,1,0
25940,66436,62567,65188,48945,20335,21786,16073,28948,1.0,1,0
283742,288320,243936,197573,157633,268886,281516,274579,349119,1.0,1,1
147965,6204,6019,15094,3359,10432,5419,10947,3927,1.0,1,0
2177,10750,9360,24847,30541,0,0,0,463,0.625,1,0
2178,0,699,1019,0,0,0,0,0,0.25,0,0
2189,0,0,0,0,0,0,0,0,0.0,0,0
55215,93921,397189,412628,72100,84,113,55,102,1.0,1,1
84188,32394,57298,59448,46550,883,2679,1880,3007,1.0,1,0
55711,0,0,0,2715,0,0,0,0,0.125,0,0
9855,131,3381,4719,0,0,0,0,0,0.375,0,0
10667,7301,12286,7901,4976,7873,8574,10651,11707,1.0,1,0
2193,404339,383620,357129,204054,197652,198290,102807,230477,1.0,1,1
10056,519579,632463,555735,372278,319195,360743,217190,344179,1.0,1,1
355,8924,19983,30643,26536,711,1170,3641,0,0.875,1,0
356,0,0,0,0,0,0,0,0,0.0,0,0
2194,490395,598826,415341,332691,35612,35262,25460,39190,1.0,1,1
79675,3565,9744,6043,2261,0,936,4072,1004,0.875,1,0
22868,25701,28717,30139,35850,2276,3986,7144,6162,1.0,1,0
60493,71233,76885,86999,42757,22220,13869,25871,23530,1.0,1,1
2197,2094785,2877964,1926265,3202509,1341541,2086721,838444,2822032,1.0,1,1
2091,1706813,1446255,1420945,1349675,1355981,1493397,1112790,1593111,1.0,1,1
345630,275662,175982,214641,126055,211819,103610,231645,206875,1.0,1,1
2192,1258,1723,2641,252,331,791,12253,2017,1.0,1,0
2203,21826,12261,13740,3212,245131,308879,146524,209031,1.0,1,1
8789,1808,0,1178,0,11977,10964,7069,0,0.625,1,0
54850,36241,52912,69909,49274,62587,72677,45693,43557,1.0,1,1
79176,9537,6874,6085,3155,0,0,8176,0,0.625,1,0
80028,5610,11667,11050,3629,5557,4369,3117,6869,1.0,1,0
84961,7492,7073,7560,4035,3837,5546,7253,6630,1.0,1,0
26224,0,0,0,0,0,0,0,0,0.0,0,0
26233,0,2194,634,1700,0,935,731,0,0.625,1,0
55336,3518,12762,7893,1806,1877,2760,2832,3344,1.0,1,0
26232,0,3477,3013,8175,10660,34017,18222,44937,0.875,1,0
23014,0,0,1914,608,554,2270,1450,1207,0.75,1,0
26263,48996,33633,37764,10345,19985,21811,12629,27383,1.0,1,0
23219,0,1189,1131,2969,5842,9157,5806,7362,0.875,1,0
84085,0,0,2699,2287,0,0,0,0,0.25,0,0
254170,0,0,3084,0,2338,0,6077,3193,0.5,0,0
81545,0,3727,5471,5207,5070,8411,3828,9090,0.875,1,0
26272,20603,11002,13131,4253,3209,4620,4321,5696,1.0,1,0
54455,0,1363,2409,0,0,0,1588,0,0.375,0,0
93611,0,0,0,0,7911,7747,4293,7612,0.5,0,0
200933,0,1925,0,2413,2398,1735,2167,1507,0.75,1,0
23403,0,0,1086,0,0,0,0,0,0.125,0,0
26271,5712,3257,5656,2965,0,0,0,0,0.5,0,0
26270,0,34858,26497,16458,4598,12405,2112,6593,0.875,1,0
25793,63336,49152,61085,24946,16225,15982,13066,17795,1.0,1,0
26268,0,748,0,0,0,0,0,1155,0.25,0,0
