Majority protein IDs,Gene names,CopyNumber_T4.naive_01_activated,CopyNumber_T4.naive_02_activated,CopyNumber_T4.naive_03_activated,CopyNumber_T4.naive_04_activated,CopyNumber_T4.naive_01_steady-state,CopyNumber_T4.naive_02_steady-state,CopyNumber_T4.naive_03_steady-state,CopyNumber_T4.naive_04_steady-state
P16383;P16383-2,GCFC2,14882,4774,17222,3020,6836,5275,2197,8188
P16389;P16389-2,KCNA2,0,3265,4650,2035,2526,1591,1911,1253
P16401,HIST1H1B,13037145,15685958,13621825,9867366,6893805,7297874,8081944,7474919
P16402,HIST1H1D,1158095,1026770,966122,1731452,1705547,1601406,1840575,1342559
P16403,HIST1H1C,637769,878899,1169329,1508616,1000773,2453291,1460462,1022730
P16410,CTLA4,10930,14228,10317,0,0,0,0,0
P16435;H0Y4R2;E7EMD0,POR,69570,67994,78139,83827,59657,65711,71967,83282
P16452;P16452-2;P16452-3;F5H563,EPB42,0,0,0,0,0,0,0,0
P16455,MGMT,335366,144992,149133,111301,189098,245360,113780,270429
P16591;P16591-2;P16591-3,FER,0,0,9190,15404,0,0,0,0
P16615;P16615-5;P16615-2;P16615-3;P16615-4;H7C5W9,ATP2A2,130069,190094,171801,136781,34701,29191,47745,39703
P16619,CCL3L1,3842,12669,0,5473,0,0,0,0
P16871;P16871-2;P16871-4;P16871-3,IL7R,7073,3597,3392,4043,19951,11235,24163,26025
P16885;A0A0A0MRF9,PLCG2,5086,4680,8009,3313,485,995,303,779
P16930;P16930-2,FAH,244999,264376,259924,124715,23313,12875,7679,37513
P16949;P16949-2;A2A2D0,STMN1,3574316,2678069,3709140,1448804,105750,157546,139796,172114
P16989;P16989-2;P16989-3,YBX3,3700,28452,20425,23102,0,501,0,1126
P17010;P17010-2;P17010-3;E9PEP7,ZFX,6541,8188,17971,7735,17684,19086,18848,19688
P17017,ZNF14,0,0,0,0,0,530,1457,0
P17019,ZNF708,919,1572,1866,0,2610,3063,7701,4128
P17026,ZNF22,48679,44497,65351,98452,265669,261932,261233,265360
P17028,ZNF24,6223,13934,18495,17395,30312,32091,37454,48218
P17029;E9PC66;B3KRF7,ZKSCAN1,0,0,4364,1163,2839,5036,3884,4600
P17036;C9J5S8,ZNF3;RFWD3,0,0,0,0,737,0,0,0
P17050,NAGA,87462,65732,54937,34391,11435,24980,9547,28330
P17066;P48741,HSPA6;HSPA7,1323707,860785,691147,413152,533182,377177,453708,613166
P17081;F8WET9;A0A0C4DH03,RHOQ,0,0,0,0,0,0,0,0
P17096;P17096-3,HMGA1,917103,846144,829728,1048651,803130,2732867,1525155,3223345
P17096-2,HMGA1,5317,0,139344,333614,263026,379152,591421,377571
P17098,ZNF8,0,1118,1970,0,1851,1166,1879,4160
P17152,TMEM11,60825,56069,39642,33023,30553,30440,45435,48328
P17174,GOT1,579175,537070,405063,248710,157403,205925,107321,217902
P17213,BPI,5969,4570,3940,8515,5434,6634,1791,2784
