genes,aHCnaiveB_S1R1,aHCnaiveB_S1R3,aHCnaiveB_S1R4,aSLEnaiveB_S1R1,aSLEnaiveB_S1R2,aSLEnaiveB_S1R3,aSLEnaiveB_S1R4
ENSG00000014138,43,48,23,204,202,205,276
ENSG00000014164,39,160,248,1398,1184,1247,1793
ENSG00000014216,398,163,194,6922,6810,5392,8483
ENSG00000014257,0,26,19,0,3,4,2
ENSG00000014641,314,34,59,3208,3528,2003,3492
ENSG00000014824,184,69,51,2455,2480,1881,3088
ENSG00000014914,5,68,84,0,0,2,1
ENSG00000014919,220,24,24,776,963,665,884
ENSG00000015133,666,439,418,12025,10365,10057,13605
ENSG00000015153,217,199,259,1080,1033,949,1450
ENSG00000015171,229,49,73,4496,3530,2584,4063
ENSG00000015285,90,73,113,4716,4491,3968,5669
ENSG00000015413,2,95,87,0,0,1,0
ENSG00000015475,72,172,180,388,452,225,422
ENSG00000015479,200,61,61,489,193,509,457
ENSG00000015520,9,118,75,3,16,6,7
ENSG00000015532,81,170,174,1223,1314,1096,1701
ENSG00000015568,0,0,1,1,0,5,6
ENSG00000015592,0,106,22,4,5,0,2
ENSG00000015676,724,147,134,5397,4780,3671,5707
ENSG00000016082,0,82,93,0,0,0,0
ENSG00000016391,2,136,200,4,2,11,1
ENSG00000016402,0,107,88,1,2,1,0
ENSG00000016490,2,12,7,0,0,0,0
ENSG00000016602,0,49,44,5,2,3,9
ENSG00000016864,172,84,181,1282,1390,879,1542
ENSG00000017260,216,36,117,3527,3127,2980,3768
ENSG00000017427,0,9,5,0,0,0,0
ENSG00000017483,26,51,27,842,723,521,711
ENSG00000017797,165,179,200,3060,3278,1612,2806
ENSG00000018189,313,71,58,3784,3790,3801,4782
ENSG00000018236,0,25,26,0,0,0,0
ENSG00000018280,8,171,289,165,40,39,74
ENSG00000018408,5,76,56,34,32,23,41
ENSG00000018510,94,252,145,1547,1495,1124,1833
ENSG00000018607,3,7,29,0,0,1,0
ENSG00000018610,43,37,38,1506,1389,1295,1742
ENSG00000018625,2,58,42,1,0,0,0
ENSG00000018699,140,89,68,1566,1645,1154,1616
ENSG00000018869,25,51,48,213,260,184,212
ENSG00000019102,16,50,109,10,13,7,21
ENSG00000019144,7,459,591,7,11,17,10
ENSG00000019169,0,12,20,0,0,0,0
ENSG00000019186,3,78,48,0,0,0,0
ENSG00000019485,109,207,194,875,1226,1119,1237
ENSG00000019505,1,103,53,1,0,0,0
ENSG00000019549,0,77,113,0,0,0,0
ENSG00000019582,70873,528,6910,491834,509071,425250,703220
ENSG00000019991,5,33,29,10,7,0,21
ENSG00000019995,72,17,35,1271,1316,983,1438
ENSG00000020129,66,170,196,785,786,583,742
ENSG00000020181,7,136,159,1,0,4,2
ENSG00000020219,0,25,23,2,0,0,1
ENSG00000020256,86,198,109,593,588,394,535
ENSG00000020426,36,64,67,521,437,358,586
ENSG00000020577,68,157,122,2988,2343,1799,1562
ENSG00000020633,752,71,205,9425,9148,9764,10497
ENSG00000020922,185,76,55,2861,2113,2333,3043
ENSG00000021300,52,165,38,198,89,197,276
ENSG00000021355,398,74,135,4466,4355,3609,5039
ENSG00000021461,0,60,29,1,0,3,3
ENSG00000021488,0,49,52,22,24,27,22
ENSG00000021574,228,34,56,2309,3219,1343,2447
ENSG00000021645,5,134,60,0,0,0,0
ENSG00000021762,6,263,286,1,3,1,10
ENSG00000021776,250,92,127,4056,3481,2922,3998
ENSG00000021826,3,128,45,9,3,10,3
ENSG00000021852,2,18,28,0,0,0,0
ENSG00000022267,75,49,65,277,834,135,1070
