"genes","naiveB_S1R1","naiveB_S1R2","naiveB_S1R3","naiveB_S1R4","naiveB_S2R1","naiveB_S2R2","naiveB_S2R3","naiveB_S2R4","naiveB_S3R1","naiveB_S3R2","naiveB_S3R3"
"ENSG00000007372","0","0","2","7","0","1","0","0","7","5","0"
"ENSG00000007376","96","262","0","6","350","292","330","182","76","55","15"
"ENSG00000007384","0","0","0","0","0","0","0","0","0","4","0"
"ENSG00000007392","603","2555","1056","476","2063","1528","1218","1303","1660","3080","1047"
"ENSG00000007402","2","9","0","0","16","16","31","27","12","15","21"
"ENSG00000007516","1","21","6","1","40","49","64","61","17","33","10"
"ENSG00000007520","227","73","0","2","49","28","38","1","24","78","18"
"ENSG00000007541","80","518","0","9","395","503","455","329","41","101","6"
"ENSG00000007545","0","208","26","13","113","194","134","72","205","269","48"
"ENSG00000007866","0","0","1","0","1","0","0","0","0","0","2"
"ENSG00000007908","0","0","0","11","6","0","6","0","7","29","2"
"ENSG00000007923","12","547","800","259","498","642","383","590","291","416","129"
"ENSG00000007933","0","0","0","35","5","0","2","3","36","2","3"
"ENSG00000007944","1480","1478","1571","485","497","750","623","633","3532","3917","1005"
"ENSG00000007952","0","0","0","0","6","13","8","9","3","19","1"
"ENSG00000007968","0","1","0","0","153","157","94","253","11","18","7"
"ENSG00000008018","6487","8364","22340","3300","879","1015","1297","1030","531","726","230"
"ENSG00000008056","0","0","0","0","0","0","0","0","6","2","5"
"ENSG00000008083","1398","2688","7539","7601","1229","1679","946","826","1831","2959","991"
"ENSG00000008086","0","0","7","12","59","262","49","9","324","310","89"
"ENSG00000008118","0","0","0","14","0","0","0","0","0","0","0"
"ENSG00000008128","51","49","124","150","30","23","18","26","32","55","11"
"ENSG00000008130","15","169","266","1","1099","1038","975","1224","199","280","57"
"ENSG00000008196","0","0","263","119","0","0","0","0","0","11","0"
"ENSG00000008197","0","0","1","0","0","0","0","0","0","13","1"
"ENSG00000008226","1","1","2","16","41","30","47","28","10","56","4"
"ENSG00000008256","6","1","1","16","46","180","139","43","133","101","57"
"ENSG00000008277","0","26","520","61","56","19","43","1","171","128","36"
"ENSG00000008282","256","1818","2439","341","4315","3743","3814","3141","1507","1832","1241"
"ENSG00000008283","0","0","9","0","34","27","58","12","11","9","9"
"ENSG00000008294","34","280","898","757","328","396","302","322","632","966","475"
"ENSG00000008300","0","5","2","12","11","46","14","17","24","25","9"
